"RECORD_NUM","SET_KEY","COMMIT_PID","FIELD_TYPE_DEFN_PID","DATA_TYPE_PID","IN_FORMAT_PID","OUT_FORMAT_KEY","MIN_INTEGER","MAX_INTEGER","MIN_FLOAT","MAX_FLOAT","MAX_STRING_LEN","MIN_STRING_LEN","ENCODING_KEY","REMINDER_KEY","DISPLAY_ORDER","IS_DEFAULT","SHOW"
"1","1","0","0","1","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"2","1","0","0","2","0","0","0","32767","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"3","1","0","0","3","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"4","1","0","0","4","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"5","1","0","0","5","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"6","1","0","0","6","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"7","1","0","0","7","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"8","1","0","0","8","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"9","1","0","0","9","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"10","1","0","0","10","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"11","1","0","0","11","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"12","1","0","0","12","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"13","1","0","0","13","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"14","1","0","0","14","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"15","1","0","0","15","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
"16","1","0","0","16","0","0","0","0","0.0","0.0","0","0","0","0","0","FALSE","TRUE"
